id,status,name,type,price,expired_day
1,active,Apel,fruit,6000,7
2,active,Anggur,fruit,10000,5
3,active,Jeruk,fruit,3000,4
4,active,Mangga,fruit,8000,3
5,active,Pisang,fruit,4000,5
6,active,Semangka,fruit,7000,2
7,active,Melon,fruit,9000,4
8,active,Nanas,fruit,6000,3
9,active,Strawberry,fruit,15000,2
10,active,Durian,fruit,20000,1
11,active,Bayam,vegetable,2000,3
12,active,Kangkung,vegetable,1500,2
13,active,Brokoli,vegetable,5000,5
14,active,Kubis,vegetable,4000,7
15,active,Tomat,vegetable,3000,5
16,active,Kacang Panjang,vegetable,2500,3
17,active,Buncis,vegetable,2000,4
18,active,Wortel,vegetable,2500,6
19,active,Lobak,vegetable,1500,7
20,active,Terong,vegetable,3000,4
21,active,Aprikot,fruit,10000,4
22,active,Avokad,fruit,15000,5
23,active,Cherry,fruit,12000,3
24,active,Pepaya,fruit,5000,6
25,active,Naga,fruit,7000,4
26,active,Manggis,fruit,12000,2
27,active,Rambutan,fruit,8000,4
28,active,Jambu Air,fruit,6000,3
29,active,Markisa,fruit,5000,5
30,active,Sirsak,fruit,10000,2
31,active,Asparagus,vegetable,10000,3
32,active,Kentang,vegetable,3000,7
33,active,Kembang Kol,vegetable,4000,5
34,active,Paprika,vegetable,8000,4
35,active,Labu,vegetable,2500,10
36,active,Labu Siam,vegetable,2000,5
37,active,Daun Bawang,vegetable,1000,3
38,active,Kale,vegetable,5000,6
39,active,Bawang Putih,vegetable,2000,7
40,active,Bawang Merah,vegetable,3000,7
41,active,Lemon,fruit,6000,5
42,active,Pomegranate,fruit,12000,6
43,active,Guava,fruit,4000,4
44,active,Pear,fruit,8000,7
45,active,Dragon fruit,fruit,9000,4
46,active,Kiwi,fruit,10000,5
47,active,Peach,fruit,12000,6
48,active,Watercress,vegetable,3000,3
49,active,Celery,vegetable,4000,7
50,active,Cucumber,vegetable,2000,7
51,active,Radish,vegetable,1500,7
52,active,Eggplant,vegetable,3000,4
53,active,Spinach,vegetable,2500,5
54,active,Zucchini,vegetable,4000,6
55,active,Beetroot,vegetable,5000,7
56,active,Carrots,vegetable,3000,6
57,active,Cauliflower,vegetable,5000,5
58,active,Garlic,vegetable,3000,8
59,active,Ginger,vegetable,5000,8
60,active,Potatoes,vegetable,4000,10
61,active,Tomatoes,fruit,4000,5
62,active,Banana flower,vegetable,5000,2
63,active,Green beans,vegetable,2500,4
64,active,Lettuce,vegetable,3000,3
65,active,Mushrooms,vegetable,7000,3
66,active,Parsley,vegetable,1500,3
67,active,Pumpkin,fruit,4000,10
68,active,Red pepper,vegetable,8000,4
69,active,Snow peas,vegetable,4000,4
70,active,Squash,vegetable,5000,7
71,active,Star fruit,fruit,6000,3
72,active,Tangerine,fruit,3000,4
73,active,Papaya leaf,vegetable,2000,2
74,active,Chayote,fruit,2500,5
75,active,Artichoke,vegetable,12000,7
76,active,Cabbage,vegetable,3000,7
77,active,Chinese cabbage,vegetable,2500,5
78,active,Green onion,vegetable,1000,3
79,active,Lima beans,vegetable,3000,5
80,active,Mint leaves,vegetable,2000,3
81,active,Mustard greens,vegetable,2500,4
82,active,Okra,vegetable,3000,4
83,active,Peas,vegetable,3500,4
84,active,Radicchio,vegetable,4000,3
85,active,Spinach beet,vegetable,4000,5
86,active,Sweet corn,vegetable,5000,2
87,active,Sweet pepper,vegetable,6000,5
88,active,Sweet potato,vegetable,4000,7
89,active,Taro,vegetable,3000,7
90,active,Turnip,vegetable,2500,7
91,active,Apricot,fruit,10000,6
92,active,Blackberry,fruit,8000,3
93,active,Cantaloupe,fruit,6000,5
94,active,Cherimoya,fruit,20000,4
95,active,Cranberry,fruit,15000,7
96,active,Currant,fruit,12000,6
97,active,Elderberry,fruit,10000,5
98,active,Gooseberry,fruit,9000,4
99,active,Grapefruit,fruit,8000,7
100,active,Honeydew melon,fruit,8000,5
